CAMBEPR;PR;Cambe;Cambe;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
IPAUCUSP;SP;Ipaussu;Ipaussu;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
VENTANIAPR;PR;Ventania;Ventania;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
GUARAPUAVAPR;PR;Guarapuava;Guarapuava;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
HARMONIAPR;PR;Harmonia;Harmonia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CAPIVARI DE BAIXOSC;SC;Capivari de Baixo;Capivari de Baixo;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CRICIUMASC;SC;Criciuma;Criciuma;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
ANAPOLISGO;GO;Iacri;Anapolis;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2199,5;1
ARAGUARIMG;MG;Araguari;Araguari;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
BRASILIADF;DF;Brasilia;Brasilia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
ITUVERAVASP;SP;Ituverava;Ituverava;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
LUZIANIAGO;GO;Luziania;Luziania;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
MOGI GUACUSP;SP;Mogi Guacu;Mogi Guacu;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
ORLANDIASP;SP;Orlandia;Orlandia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
PIRAPORAMG;MG;Pirapora;Pirapora;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
RIBEIRAO PRETOSP;SP;Ribeirao Preto;Ribeirao Preto;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SANTA JULIANAMG;MG;Santa Juliana;Santa Juliana;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SANTA LUZIAMG;MG;Santa Luzia;Santa Luzia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SAO JOAQUIM DA BARRASP;SP;Sao Joaquim da Barra;Sao Joaquim da Barra;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SERRANASP;SP;Serrana;Serrana;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SILVANIAGO;GO;Silvania;Silvania;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
UBERABAMG;MG;Uberaba;Uberaba;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
UBERLANDIAMG;MG;Uberlandia;Uberlandia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
URUACUGO;GO;Uruacu;Uruacu;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1800,7;1
ITURAMAMG;MG;Iturama;Iturama;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
JANDAIAGO;GO;Jandaia;Jandaia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2449,6;1
OURO VERDE DE GOIASGO;GO;Ouro Verde de Goias;Ouro Verde de Goias;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
QUIRINOPOLISGO;GO;Quirinopolis;Quirinopolis;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2694,6;1
RIO VERDEGO;GO;Juranda;Rio Verde;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2544,6;1
AGUA BOAMT;MT;Agua Boa;Agua Boa;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2206,7;1
PARANATINGAMT;MT;Paranatinga;Paranatinga;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2547,5;1
LUCAS DO RIO VERDEMT;MT;Lucas do Rio Verde;Lucas do Rio Verde;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2840,7;1
BRASNORTEMT;MT;Brasnorte;Brasnorte;ILHEUSBA;BA;Ilheus;Ilheus;celulose;3110,7;1
VILHENARO;RO;Vilhena;Vilhena;ILHEUSBA;BA;Ilheus;Ilheus;celulose;3430,7;1
FIGUEIROPOLISTO;TO;Figueiropolis;Figueiropolis;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1490;1
TAIPAS DO TOCANTINSTO;TO;Taipas do Tocantins;Taipas do Tocantins;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1220;1
LUIS EDUARDO MAGALHAESBA;BA;Luis Eduardo Magalhaes;Luis Eduardo Magalhaes;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1043;1
BARREIRASBA;BA;Iguatu;Barreiras;ILHEUSBA;BA;Ilheus;Ilheus;celulose;943;1
CAETITEBA;BA;Caetite;Caetite;ILHEUSBA;BA;Ilheus;Ilheus;celulose;530;1
TANHACUBA;BA;Tanhacu;Tanhacu;ILHEUSBA;BA;Ilheus;Ilheus;celulose;350;1
AGUIARNOPOLISTO;TO;Aguiarnopolis;Aguiarnopolis;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2262,6;1
PALMEIRANTETO;TO;Palmeirante;Palmeirante;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2028,6;1
ARAGUAINATO;TO;Araguaina;Araguaina;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2187;1
GUARAITO;TO;Guarai;Guarai;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1987;1
PORTO NACIONALTO;TO;Porto Nacional;Porto Nacional;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1757,1;1
BABACULANDIATO;TO;Babaculandia;Babaculandia;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2168,6;1
GURUPITO;TO;Gurupi;Gurupi;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1540,1;1
PORANGATUGO;GO;Porangatu;Porangatu;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1644;1
SANTA ISABELGO;GO;Santa Isabel;Santa Isabel;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1999,5;1
SAO SIMAOGO;GO;Sao Simao;Sao Simao;ILHEUSBA;BA;Ilheus;Ilheus;celulose;2524,3;1
SINOPMT;MT;Sinop;Sinop;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
NOVA SANTA HELENAMT;MT;Ipora;Nova Santa Helena;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
GUARANTA DO NORTEMT;MT;Guaranta do Norte;Guaranta do Norte;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CACHIMBOPA;PA;Novo Progresso;Novo Progresso;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
TRINDADEGO;GO;Trindade;Trindade;ILHEUSBA;BA;Ilheus;Ilheus;celulose;1586,128;1
UNIAO DE MINASMG;MG;Uniao de Minas;Uniao de Minas;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SANTO ANDRESP;SP;Penaforte;Santo Andre;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SAO CAETANO DO SULSP;SP;Sao Caetano do Sul;Sao Caetano do Sul;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SAO PAULOSP;SP;Santos;Santos;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
MOOCASP;SP;Sao Paulo;Mooca;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
ITAQUAQUECETUBASP;SP;Itaquaquecetuba;Itaquaquecetuba;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
GUARATINGUETASP;SP;Guaratingueta;Guaratingueta;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
ROSEIRASP;SP;Roseira;Roseira;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
PINDAMONHANGABASP;SP;Pindamonhangaba;Pindamonhangaba;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
TAUBATESP;SP;Taubate;Taubate;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CACAPAVASP;SP;Cacapava;Cacapava;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SAO JOSE DOS CAMPOSSP;SP;Sao Jose dos Campos;Sao Jose dos Campos;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CARAZINHOSP;SP;Carazinho;Carazinho;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
MOGI DAS CRUZESSP;SP;Mogi das Cruzes;Mogi das Cruzes;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
SUZANOSP;SP;Suzano;Suzano;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CONCHASSP;SP;Conchas;Conchas;ILHEUSBA;BA;Ilheus;Ilheus;celulose;0;0
CHAPADAO DO SULMS;MS;Chapadao do Sul;Chapadao do Sul;SANTOSSP;SP;Santos;Santos;celulose;1194;0
COSTA RICAMS;MS;Costa Rica;Costa Rica;SANTOSSP;SP;Santos;Santos;celulose;1308;0
RONDONOPOLISMT;MT;Rondonopolis;Rondonopolis;SANTOSSP;SP;Santos;Santos;celulose;1664;1
ANDRADINASP;SP;Andradina;Andradina;SANTOSSP;SP;Santos;Santos;celulose;837,787;1
ARACATUBASP;SP;Aracatuba;Aracatuba;SANTOSSP;SP;Santos;Santos;celulose;705,083;1
BAURUSP;SP;Bauru;Bauru;SANTOSSP;SP;Santos;Santos;celulose;1544,765;3
PANORAMASP;SP;Panorama;Panorama;SANTOSSP;SP;Santos;Santos;celulose;902;0
TRES LAGOASMS;MS;Tres Lagoas;Tres Lagoas;SANTOSSP;SP;Santos;Santos;celulose;898;1
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;Aparecida do Taboado;SANTOSSP;SP;Santos;Santos;celulose;925;1
ARARAQUARASP;SP;Araraquara;Araraquara;SANTOSSP;SP;Santos;Santos;celulose;1380,694;2
CAMPINASSP;SP;Placido de Castro;Campinas;SANTOSSP;SP;Santos;Santos;celulose;523,079;1
