JUSSARAPR;PR;Jussara;ANHEMBISP;SP;Anhembi;Anhembi;1.176
JUTIMS;MS;Juti;ANHEMBISP;SP;Anhembi;Anhembi;1.075
MARACAJUMS;MS;Maracaju;ANHEMBISP;SP;Anhembi;Anhembi;1.294
NAVIRAIMS;MS;Navirai;ANHEMBISP;SP;Anhembi;Anhembi;978
PANORAMASP;SP;Panorama;ANHEMBISP;SP;Anhembi;Anhembi;646
PARDOPK214MS;MS;Santa Rita do Pardo;ANHEMBISP;SP;Anhembi;Anhembi;910
PEREIRA BARRETOSP;SP;Pereira Barreto;ANHEMBISP;SP;Anhembi;Anhembi;481
PEDERNEIRASSP;SP;Pederneiras;ANHEMBISP;SP;Anhembi;Anhembi;105
PORTO RICOPR;PR;Porto Rico;ANHEMBISP;SP;Anhembi;Anhembi;881
PORTO VELHORO;RO;Porto Velho;ANHEMBISP;SP;Anhembi;Anhembi;0
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;ANHEMBISP;SP;Anhembi;Anhembi;716
RIO BRILHANTEMS;MS;Rio Brilhante;ANHEMBISP;SP;Anhembi;Anhembi;1.194
ROSANASP;SP;Rosana;ANHEMBISP;SP;Anhembi;Anhembi;851
SABINOSP;SP;Sabino;ANHEMBISP;SP;Anhembi;Anhembi;379
SANTA HELENAPR;PR;Santa Helena;ANHEMBISP;SP;Anhembi;Anhembi;1.173
SAO SIMAOGO;GO;Sao Simao;ANHEMBISP;SP;Anhembi;Anhembi;760
SUCURIUPK170MS;MS;Alto Sucuriu;ANHEMBISP;SP;Anhembi;Anhembi;734
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;ANHEMBISP;SP;Anhembi;Anhembi;974
TRES LAGOASMS;MS;Tres Lagoas;ANHEMBISP;SP;Anhembi;Anhembi;564
UBARANASP;SP;Ubarana;ANHEMBISP;SP;Anhembi;Anhembi;406
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;CONCHASSP;SP;Conchas;Conchas;679
AGUA CLARAMS;MS;Agua Clara;CONCHASSP;SP;Conchas;Conchas;816
