UF_id;UF;Nome_UF;Nome_Microrregiao;Codigo Municipio Completo;Nome_Municipio;Codigo de Distrito Completo;Nome_Distrito;;;;
11;RO;Rondonia;Vilhena;1101450;Parecis;110145005;Parecis;;;;
11;RO;Rondonia;Vilhena;1100189;Pimenta Bueno;110018905;Pimenta Bueno;;;;
11;RO;Rondonia;Vilhena;1100189;Pimenta Bueno;110018915;Marco Rondon;;;;
11;RO;Rondonia;Colorado do Oeste;1101468;Pimenteiras do Oeste;110146805;Pimenteiras do Oeste;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020505;Porto Velho;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020510;Abuna;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020515;Calama;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020516;Demarcacao;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020517;Extrema;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020518;Fortaleza do Abuna;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020520;Jaci Parana;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020525;Mutum Parana;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020530;Nazare;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020535;Nova California;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020540;Sao Carlos;;;;
11;RO;Rondonia;Porto Velho;1100205;Porto Velho;110020545;Vista Alegre do Abuna;;;;
11;RO;Rondonia;Ji Parana;1100254;Presidente Medici;110025405;Presidente Medici;;;;
11;RO;Rondonia;Ji Parana;1100254;Presidente Medici;110025415;Estrela de Rondonia;;;;
11;RO;Rondonia;Ji Parana;1100254;Presidente Medici;110025420;Novo Riachuelo;;;;
11;RO;Rondonia;Ji Parana;1100254;Presidente Medici;110025425;Vila Bandeira Branca;;;;
11;RO;Rondonia;Ji Parana;1100254;Presidente Medici;110025430;Vila Camargo;;;;
11;RO;Rondonia;Vilhena;1101476;Primavera de Rondonia;110147605;Primavera de Rondonia;;;;
11;RO;Rondonia;Ariquemes;1100262;Rio Crespo;110026205;Rio Crespo;;;;
11;RO;Rondonia;Cacoal;1100288;Rolim de Moura;110028805;Rolim de Moura;;;;
11;RO;Rondonia;Cacoal;1100296;Santa Luzia D Oeste;110029605;Santa Luzia D Oeste;;;;
11;RO;Rondonia;Vilhena;1101484;Sao Felipe D Oeste;110148405;Sao Felipe D Oeste;;;;
11;RO;Rondonia;Guajara Mirim;1101492;Sao Francisco do Guapore;110149205;Sao Francisco do Guapore;;;;
11;RO;Rondonia;Alvorada D Oeste;1100320;Sao Miguel do Guapore;110032005;Sao Miguel do Guapore;;;;
11;RO;Rondonia;Alvorada D Oeste;1100320;Sao Miguel do Guapore;110032020;Santana do Guapore;;;;
